Materia,Num_Materia,Nom1,Nom2,Nom3,Nom4,Nom5,Nom6,Nom7,Nom8,Nom9,Nom10,Nom11,Nom12,Nom13,Nom14,Nom15,Nom16,Nom17,Nom18,Nom19,Nom20
Administración Actuarial del Riesgo,1,Administración,Administración Actuarial,Administración Actuarial del Riesgo,/Administración Actuarial/Administración Actuarial del Riesgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contabilidad,2,Contabilidad,Contabilidad/Contabilidad/Contabilidad/Contabilidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recuperación y Búsqueda de Información en Textos,3,Seminario de Inteligencia Artificial,Recuperación y Búsqueda de Información en Textos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administración de Empresas de Software,4,/Seminario de Aplicaciones a las Ciencias Sociales y Administrativas/Administración de Empresas de Software,/Seminario de Aplicaciones a las Ciencias Sociales y Administrativas/Riesgo Tecnológico,Seminario de Aplicaciones a las Ciencias Sociales y Administrativas,Administración de Empresas de Software,Riesgo Tecnológico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probabilidad I,5,Probabilidad I/Probabilidad I/Probabilidad I/Probabilidad I/Probabilidad I/Probabilidad I/Probabilidad I,Probabilidad I,Probabilidad y Estadística,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecánica Vectorial,6,Mecánica Vectorial,Cálculo Tensorial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenómenos Colectivos,7,Fenómenos Colectivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electromagnetismo I,8,Electromagnetismo I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introducción a la Física Cuántica,9,Introducción a la Física Cuántica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óptica,10,Óptica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electromagnetismo II,11,Electromagnetismo II,Electromagnetismo II/Electromagnetismo II/Electromagnetismo II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funciones Especiales y Transformadas Integrales,12,Matemáticas Avanzadas de la Física,Funciones Especiales y Transformadas Integrales,Análisis de Fourier I,Análisis de Fourier II,Introducción a las Funciones Recursivas y Computabilidad,/Funciones Especiales y Transformadas Integrales/Funciones Especiales y Transformadas Integrales/Matemáticas Avanzadas de la Física,Introducción a las Funciones Recursivas y Computabilidad/Introducción a las Funciones Recursivas y Computabilidad/Introducción a las Funciones Recursivas y Computabilidad/Introducción a las Funciones Recursivas y Computabilidad,Funciones Especiales y Transformadas Integrales/Funciones Especiales y Transformadas Integrales/Funciones Especiales y Transformadas Integrales,0,0,0,0,0,0,0,0,0,0,0,0
Mecánica Analítica,13,Mecánica Analítica,Introducción Matemática a la Mecánica Celeste/Introducción Matemática a la Mecánica Celeste/Introducción Matemática a la Mecánica Celeste,Introducción Matemática a la Mecánica Celeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termodinámica,14,Termodinámica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Física Computacional,15,Física Computacional,Supercómputo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecánica Cuántica,16,Mecánica Cuántica,Mecánica Cuántica/Mecánica Cuántica/Mecánica Cuántica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relatividad,17,Relatividad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinámica de Medios Deformables,18,Dinámica de Medios Deformables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Física Estadística,19,Física Estadística,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Moderna I,20,Álgebra Moderna I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Superior I,21,Álgebra Superior I,Álgebra Superior I/Álgebra Superior I/Álgebra Superior I/Álgebra Superior I/Álgebra Superior I/Álgebra Superior I/Álgebra Superior I/Álgebra Superior I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Lineal I,22,Álgebra Lineal I,Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I/Álgebra Lineal I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topología II,23,Topología II/Topología II/Topología II/Topología II/Topología II,Topología II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Moderna II,24,Álgebra Moderna II,Álgebra Moderna II/Álgebra Moderna II/Álgebra Moderna II/Álgebra Moderna II/Álgebra Moderna II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Lineal II,25,Álgebra Lineal II,Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II/Álgebra Lineal II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Moderna III,26,Álgebra Moderna III,Álgebra Moderna III/Álgebra Moderna III/Álgebra Moderna III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Analítica II,27,Geometría Analítica II/Geometría Analítica II/Geometría Analítica II/Geometría Analítica II/Geometría Analítica II/Geometría Analítica II/Geometría Analítica II,Geometría Analítica II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Álgebra A,28,Seminario de Álgebra A,Seminario de Álgebra A/Seminario de Álgebra A/Seminario de Álgebra A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variable Compleja I,29,Variable Compleja I,Variable Compleja I/Variable Compleja I/Variable Compleja I/Variable Compleja I/Variable Compleja I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis Matemático I,30,Análisis Matemático I,Análisis Matemático I/Análisis Matemático I/Análisis Matemático I/Análisis Matemático I/Análisis Matemático I/Análisis Matemático I/Análisis Matemático I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topología I,31,Topología I/Topología I/Topología I/Topología I/Topología I/Topología I,Topología I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álgebra Superior II,32,Álgebra Superior II,Álgebra Superior II/Álgebra Superior II/Álgebra Superior II/Álgebra Superior II/Álgebra Superior II/Álgebra Superior II/Álgebra Superior II/Álgebra Superior II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de Gráficas,33,Teoría de Gráficas,Teoría de Gráficas/Teoría de Gráficas/Teoría de Gráficas/Teoría de Gráficas/Teoría de Gráficas/Teoría de Gráficas/Teoría de Gráficas,Teoría de las Gráficas II/Teoría de las Gráficas II/Teoría de las Gráficas II,Teoría de las Gráficas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Topología A,34,Seminario de Topología A/Seminario de Topología A/Seminario de Topología A,Seminario de Topología A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Analítica I,35,Geometría Analítica I,Geometría Analítica I/Geometría Analítica I/Geometría Analítica I/Geometría Analítica I/Geometría Analítica I/Geometría Analítica I/Geometría Analítica I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introducción a las Matemáticas Discretas,36,Graficas y Juegos/Graficas y Juegos/Graficas y Juegos/Graficas y Juegos,Graficas y Juegos,/Graficas y Juegos/Graficas y Juegos/Graficas y Juegos/Introducción a las Matemáticas Discretas,Introducción a las Matemáticas Discretas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Moderna I,37,Geometría Moderna I,Geometría Moderna I/Geometría Moderna I/Geometría Moderna I/Geometría Moderna I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probabilidad II,38,Probabilidad II/Probabilidad II/Probabilidad II/Probabilidad II/Probabilidad II/Probabilidad II/Probabilidad II/Probabilidad II,Probabilidad II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
